id,text_raw,source
5037577477816389,催一下，京台高铁要加速了！,来自浙江
5037577801045263,打  打  打  打一顿就老实了,来自山东
5037577550433113,期待回归！期待还健在的老人们早日看到[加油],来自江苏
5037578946611678,我们福建几个沿海城市已经在想着说，跨海大桥应该从我们哪个城市出发嘞？[送花花][送花花][送花花],来自福建
5037597926097808,顺便把港澳通行证也取消下呗,来自浙江
5037577214626170,只有一个中国🇨🇳,来自广东
5037577254211802,只有一个中国🇨🇳,来自河南
5037577444526766,只有一个中国🇨🇳,来自安徽
5037596444722214,高铁啥时候开通？我想去那边开个淄博烧烤,来自山东
5037577377153307,台湾必归,来自安徽
5037578090709943,台湾从来不是一个国家也永远不会成为一个国家，台湾必归！,来自江苏
5037577826732374,只有一个中国[加油],来自江西
5037577583203120,早日统一🇨🇳,来自山东
5037578410004010,台湾当归，祖国必然完全统一🇨🇳,来自山东
5037578459548426,只有一个中国 坚持一个中国原则 ！🇨🇳[举手],来自安徽
5037602656226719,我知道终将会回归，我只希望早日回归！害怕台du思想荼毒一代又一代🙏🙏🙏,来自河南
5037577760149814,台湾是中国的台湾,来自山东
5037578312746251,中国台湾省!!!,来自河南
5037577868412110,台湾是中国的台湾 是中国台湾省！,来自重庆
5037577259977693,快点统一吧……,来自北京
5037596054653028,我已经准备好开车去台湾省玩[太开心][太开心][太开心],来自浙江
5037609166834125,人家是福建省台湾市了啦～[doge],来自广西
5037578243807145,只有一个中国🇨🇳,来自福建
5037578341844266,只有一个中国🇨🇳,来自湖北
5037578812130649,支持祖国统一,来自上海
5037578208940300,只有一个中国🇨🇳,来自广东
5037579644702733,台湾当归，台湾必归！,来自广东
5037580800232109,祖国必将统一,来自江苏
5037582627113975,只有一个中国🇨🇳,来自广东
5037577402585319,只有一个中国🇨🇳,来自山东
5037579453334200,爱我中华！🇨🇳,来自安徽
5037578783558381,只有一个中国🇨🇳,来自山东
5037603316042152,坚持一个中国原则，世上只有一个中国🇨🇳,来自广东
5037615686617184,我的愿望 一觉醒来，台湾回归啦！！[可怜],来自上海
5037600240307547,祖国统一势不可挡！,来自山东
5037602124601068,不回归不旅游,来自江苏
5037578837557771,早日统一,来自山西
5037578135017029,是中国的台湾省,来自湖北
5037602558443877,又菜又爱玩还又跟着外人很叛逆，熊孩子不听话肯定就要打屁股[偷笑],来自福建
5037605606137283,支持！只有一个中国🇨🇳,来自浙江
5037594805536262,所以，你回来就回来，不回来也得回来！！没得挑！！！,来自河南
5037618083398768,期待早日实现祖国完全统一！,来自广东
